CountryCode,SeriesCode,Year,DESCRIPTION
"GBR","IT.NET.USER.ZS","YR2014","Last 3 months. Eurostat"
"GBR","IT.NET.USER.ZS","YR2015","Last 3 months. Eurostat"
"GBR","IT.NET.USER.ZS","YR2016","Last 3 months. Eurostat"
"GBR","IT.NET.USER.ZS","YR2017","Last 3 months Office for National Statistics"
"GBR","IT.NET.USER.ZS","YR2018","Last 3 months Office for National Statistics"
"GBR","IT.NET.USER.ZS","YR2019","Last 3 months Office for National Statistics"
"GBR","IT.NET.USER.ZS","YR2020","Office for National Statistics"
"GBR","IT.NET.USER.ZS","YR2021","ITU estimate."
"GBR","IT.NET.USER.ZS","YR2022","ITU estimate."
"GBR","SH.DYN.MORT","YR1960","Uncertainty bound is 26 - 27.1"
"GBR","SH.DYN.MORT","YR1961","Uncertainty bound is 25.6 - 26.6"
"GBR","SH.DYN.MORT","YR1962","Uncertainty bound is 25.1 - 26.1"
"GBR","SH.DYN.MORT","YR1963","Uncertainty bound is 24.5 - 25.4"
"GBR","SH.DYN.MORT","YR1964","Uncertainty bound is 23.7 - 24.6"
"GBR","SH.DYN.MORT","YR1965","Uncertainty bound is 23 - 23.9"
"GBR","SH.DYN.MORT","YR1966","Uncertainty bound is 22.3 - 23.2"
"GBR","SH.DYN.MORT","YR1967","Uncertainty bound is 21.8 - 22.7"
"GBR","SH.DYN.MORT","YR1968","Uncertainty bound is 21.4 - 22.2"
"GBR","SH.DYN.MORT","YR1969","Uncertainty bound is 21 - 21.8"
"GBR","SH.DYN.MORT","YR1970","Uncertainty bound is 20.6 - 21.5"
"GBR","SH.DYN.MORT","YR1971","Uncertainty bound is 20.2 - 21"
"GBR","SH.DYN.MORT","YR1972","Uncertainty bound is 19.7 - 20.4"
"GBR","SH.DYN.MORT","YR1973","Uncertainty bound is 19 - 19.8"
"GBR","SH.DYN.MORT","YR1974","Uncertainty bound is 18.3 - 19.1"
"GBR","SH.DYN.MORT","YR1975","Uncertainty bound is 17.6 - 18.3"
"GBR","SH.DYN.MORT","YR1976","Uncertainty bound is 16.9 - 17.5"
"GBR","SH.DYN.MORT","YR1977","Uncertainty bound is 16.1 - 16.8"
"GBR","SH.DYN.MORT","YR1978","Uncertainty bound is 15.4 - 16"
"GBR","SH.DYN.MORT","YR1979","Uncertainty bound is 14.6 - 15.2"
"GBR","SH.DYN.MORT","YR1980","Uncertainty bound is 13.9 - 14.4"
"GBR","SH.DYN.MORT","YR1981","Uncertainty bound is 13.1 - 13.6"
"GBR","SH.DYN.MORT","YR1982","Uncertainty bound is 12.5 - 13"
"GBR","SH.DYN.MORT","YR1983","Uncertainty bound is 11.9 - 12.4"
"GBR","SH.DYN.MORT","YR1984","Uncertainty bound is 11.5 - 12"
"GBR","SH.DYN.MORT","YR1985","Uncertainty bound is 11.2 - 11.6"
"GBR","SH.DYN.MORT","YR1986","Uncertainty bound is 10.9 - 11.3"
"GBR","SH.DYN.MORT","YR1987","Uncertainty bound is 10.6 - 11"
"GBR","SH.DYN.MORT","YR1988","Uncertainty bound is 10.2 - 10.6"
"GBR","SH.DYN.MORT","YR1989","Uncertainty bound is 9.7 - 10.1"
"GBR","SH.DYN.MORT","YR1990","Uncertainty bound is 9.1 - 9.5"
"GBR","SH.DYN.MORT","YR1991","Uncertainty bound is 8.5 - 8.9"
"GBR","SH.DYN.MORT","YR1992","Uncertainty bound is 8 - 8.3"
"GBR","SH.DYN.MORT","YR1993","Uncertainty bound is 7.6 - 7.9"
"GBR","SH.DYN.MORT","YR1994","Uncertainty bound is 7.3 - 7.6"
"GBR","SH.DYN.MORT","YR1995","Uncertainty bound is 7 - 7.3"
"GBR","SH.DYN.MORT","YR1996","Uncertainty bound is 6.9 - 7.2"
"GBR","SH.DYN.MORT","YR1997","Uncertainty bound is 6.8 - 7"
"GBR","SH.DYN.MORT","YR1998","Uncertainty bound is 6.6 - 6.9"
"GBR","SH.DYN.MORT","YR1999","Uncertainty bound is 6.5 - 6.8"
"GBR","SH.DYN.MORT","YR2000","Uncertainty bound is 6.4 - 6.7"
"GBR","SH.DYN.MORT","YR2001","Uncertainty bound is 6.3 - 6.6"
"GBR","SH.DYN.MORT","YR2002","Uncertainty bound is 6.2 - 6.5"
"GBR","SH.DYN.MORT","YR2003","Uncertainty bound is 6.1 - 6.4"
"GBR","SH.DYN.MORT","YR2004","Uncertainty bound is 6 - 6.3"
"GBR","SH.DYN.MORT","YR2005","Uncertainty bound is 5.9 - 6.2"
"GBR","SH.DYN.MORT","YR2006","Uncertainty bound is 5.8 - 6"
"GBR","SH.DYN.MORT","YR2007","Uncertainty bound is 5.6 - 5.9"
"GBR","SH.DYN.MORT","YR2008","Uncertainty bound is 5.5 - 5.7"
"GBR","SH.DYN.MORT","YR2009","Uncertainty bound is 5.3 - 5.5"
"GBR","SH.DYN.MORT","YR2010","Uncertainty bound is 5.1 - 5.3"
"GBR","SH.DYN.MORT","YR2011","Uncertainty bound is 4.9 - 5.1"
"GBR","SH.DYN.MORT","YR2012","Uncertainty bound is 4.7 - 4.9"
"GBR","SH.DYN.MORT","YR2013","Uncertainty bound is 4.6 - 4.7"
"GBR","SH.DYN.MORT","YR2014","Uncertainty bound is 4.4 - 4.6"
"GBR","SH.DYN.MORT","YR2015","Uncertainty bound is 4.4 - 4.5"
"GBR","SH.DYN.MORT","YR2016","Uncertainty bound is 4.3 - 4.5"
"GBR","SH.DYN.MORT","YR2017","Uncertainty bound is 4.3 - 4.5"
"GBR","SH.DYN.MORT","YR2018","Uncertainty bound is 4.3 - 4.5"
"GBR","SH.DYN.MORT","YR2019","Uncertainty bound is 4.3 - 4.5"
"GBR","SH.DYN.MORT","YR2020","Uncertainty bound is 4.3 - 4.5"
"GBR","SH.DYN.MORT","YR2021","Uncertainty bound is 4.3 - 4.6"
"GBR","SH.DYN.MORT","YR2022","Uncertainty bound is 4.2 - 4.7"
"GBR","SH.DYN.MORT","YR2023","Uncertainty bound is 4.1 - 4.8"
"GBR","SH.STA.OWAD.ZS","YR1990","Plausible bound is 44.78 - 46.68."
"GBR","SH.STA.OWAD.ZS","YR1991","Plausible bound is 45.98 - 47.76."
"GBR","SH.STA.OWAD.ZS","YR1992","Plausible bound is 47.18 - 48.85."
"GBR","SH.STA.OWAD.ZS","YR1993","Plausible bound is 48.34 - 49.92."
"GBR","SH.STA.OWAD.ZS","YR1994","Plausible bound is 49.47 - 50.98."
"GBR","SH.STA.OWAD.ZS","YR1995","Plausible bound is 50.56 - 52.03."
"GBR","SH.STA.OWAD.ZS","YR1996","Plausible bound is 51.62 - 53.06."
"GBR","SH.STA.OWAD.ZS","YR1997","Plausible bound is 52.62 - 54.05."
"GBR","SH.STA.OWAD.ZS","YR1998","Plausible bound is 53.6 - 54.99."
"GBR","SH.STA.OWAD.ZS","YR1999","Plausible bound is 54.49 - 55.87."
"GBR","SH.STA.OWAD.ZS","YR2000","Plausible bound is 55.32 - 56.69."
"GBR","SH.STA.OWAD.ZS","YR2001","Plausible bound is 56.08 - 57.45."
"GBR","SH.STA.OWAD.ZS","YR2002","Plausible bound is 56.78 - 58.15."
"GBR","SH.STA.OWAD.ZS","YR2003","Plausible bound is 57.38 - 58.74."
"GBR","SH.STA.OWAD.ZS","YR2004","Plausible bound is 57.92 - 59.28."
"GBR","SH.STA.OWAD.ZS","YR2005","Plausible bound is 58.39 - 59.73."
"GBR","SH.STA.OWAD.ZS","YR2006","Plausible bound is 58.79 - 60.13."
"GBR","SH.STA.OWAD.ZS","YR2007","Plausible bound is 59.13 - 60.44."
"GBR","SH.STA.OWAD.ZS","YR2008","Plausible bound is 59.4 - 60.69."
"GBR","SH.STA.OWAD.ZS","YR2009","Plausible bound is 59.61 - 60.91."
"GBR","SH.STA.OWAD.ZS","YR2010","Plausible bound is 59.77 - 61.04."
"GBR","SH.STA.OWAD.ZS","YR2011","Plausible bound is 59.89 - 61.15."
"GBR","SH.STA.OWAD.ZS","YR2012","Plausible bound is 59.95 - 61.23."
"GBR","SH.STA.OWAD.ZS","YR2013","Plausible bound is 59.99 - 61.3."
"GBR","SH.STA.OWAD.ZS","YR2014","Plausible bound is 60.06 - 61.38."
"GBR","SH.STA.OWAD.ZS","YR2015","Plausible bound is 60.09 - 61.48."
"GBR","SH.STA.OWAD.ZS","YR2016","Plausible bound is 60.12 - 61.64."
"GBR","SH.STA.OWAD.ZS","YR2017","Plausible bound is 60.11 - 61.81."
"GBR","SH.STA.OWAD.ZS","YR2018","Plausible bound is 60.07 - 62.05."
